date_slot,specialization,doctor_name,is_available,patient_to_attend
16-10-2025 08:00,general_dentist,john doe,True,
16-10-2025 08:00,cosmetic_dentist,john doe,True,
16-10-2025 08:00,prosthodontist,john doe,True,
16-10-2025 08:00,pediatric_dentist,john doe,False,1001116.0
16-10-2025 08:00,emergency_dentist,john doe,True,
16-10-2025 08:00,oral_surgeon,john doe,True,
16-10-2025 08:00,orthodontist,john doe,True,
16-10-2025 08:00,general_dentist,emily johnson,True,
16-10-2025 08:00,cosmetic_dentist,emily johnson,True,
16-10-2025 08:00,prosthodontist,emily johnson,True,
16-10-2025 08:00,pediatric_dentist,emily johnson,True,
16-10-2025 08:00,emergency_dentist,emily johnson,False,1003916.0
16-10-2025 08:00,oral_surgeon,emily johnson,True,
16-10-2025 08:00,orthodontist,emily johnson,True,
16-10-2025 08:00,general_dentist,jane smith,True,
16-10-2025 08:00,cosmetic_dentist,jane smith,True,
16-10-2025 08:00,prosthodontist,jane smith,False,1009239.0
16-10-2025 08:00,pediatric_dentist,jane smith,True,
16-10-2025 08:00,emergency_dentist,jane smith,True,
16-10-2025 08:00,oral_surgeon,jane smith,True,
16-10-2025 08:00,orthodontist,jane smith,True,
16-10-2025 08:00,general_dentist,lisa brown,True,
16-10-2025 08:00,cosmetic_dentist,lisa brown,True,
16-10-2025 08:00,prosthodontist,lisa brown,False,1001869.0
16-10-2025 08:00,pediatric_dentist,lisa brown,True,
16-10-2025 08:00,emergency_dentist,lisa brown,True,
16-10-2025 08:00,oral_surgeon,lisa brown,True,
16-10-2025 08:00,orthodontist,lisa brown,True,
16-10-2025 08:00,general_dentist,michael green,True,
16-10-2025 08:00,cosmetic_dentist,michael green,True,
16-10-2025 08:00,prosthodontist,michael green,True,
16-10-2025 08:00,pediatric_dentist,michael green,True,
16-10-2025 08:00,emergency_dentist,michael green,True,
16-10-2025 08:00,oral_surgeon,michael green,True,
16-10-2025 08:00,orthodontist,michael green,True,
16-10-2025 08:00,general_dentist,sarah wilson,True,
16-10-2025 08:00,cosmetic_dentist,sarah wilson,True,
16-10-2025 08:00,prosthodontist,sarah wilson,True,
16-10-2025 08:00,pediatric_dentist,sarah wilson,True,
16-10-2025 08:00,emergency_dentist,sarah wilson,True,
16-10-2025 08:00,oral_surgeon,sarah wilson,True,
16-10-2025 08:00,orthodontist,sarah wilson,True,
16-10-2025 08:00,general_dentist,daniel miller,True,
16-10-2025 08:00,cosmetic_dentist,daniel miller,True,
16-10-2025 08:00,prosthodontist,daniel miller,True,
16-10-2025 08:00,pediatric_dentist,daniel miller,True,
16-10-2025 08:00,emergency_dentist,daniel miller,False,1004555.0
16-10-2025 08:00,oral_surgeon,daniel miller,False,1003070.0
16-10-2025 08:00,orthodontist,daniel miller,False,1001213.0
16-10-2025 08:00,general_dentist,susan davis,False,1009585.0
16-10-2025 08:00,cosmetic_dentist,susan davis,True,
16-10-2025 08:00,prosthodontist,susan davis,True,
16-10-2025 08:00,pediatric_dentist,susan davis,False,1004761.0
16-10-2025 08:00,emergency_dentist,susan davis,False,1006503.0
16-10-2025 08:00,oral_surgeon,susan davis,True,
16-10-2025 08:00,orthodontist,susan davis,True,
16-10-2025 08:00,general_dentist,robert martinez,True,
16-10-2025 08:00,cosmetic_dentist,robert martinez,False,1002977.0
16-10-2025 08:00,prosthodontist,robert martinez,True,
16-10-2025 08:00,pediatric_dentist,robert martinez,True,
16-10-2025 08:00,emergency_dentist,robert martinez,True,
16-10-2025 08:00,oral_surgeon,robert martinez,True,
16-10-2025 08:00,orthodontist,robert martinez,True,
16-10-2025 08:00,general_dentist,kevin anderson,False,1004605.0
16-10-2025 08:00,cosmetic_dentist,kevin anderson,True,
16-10-2025 08:00,prosthodontist,kevin anderson,True,
16-10-2025 08:00,pediatric_dentist,kevin anderson,True,
16-10-2025 08:00,emergency_dentist,kevin anderson,True,
16-10-2025 08:00,oral_surgeon,kevin anderson,True,
16-10-2025 08:00,orthodontist,kevin anderson,False,1002368.0
16-10-2025 08:30,general_dentist,john doe,True,
16-10-2025 08:30,cosmetic_dentist,john doe,True,
16-10-2025 08:30,prosthodontist,john doe,False,1005682.0
16-10-2025 08:30,pediatric_dentist,john doe,False,1006904.0
16-10-2025 08:30,emergency_dentist,john doe,True,
16-10-2025 08:30,oral_surgeon,john doe,True,
16-10-2025 08:30,orthodontist,john doe,True,
16-10-2025 08:30,general_dentist,emily johnson,True,
16-10-2025 08:30,cosmetic_dentist,emily johnson,False,1009741.0
16-10-2025 08:30,prosthodontist,emily johnson,True,
16-10-2025 08:30,pediatric_dentist,emily johnson,False,1004843.0
16-10-2025 08:30,emergency_dentist,emily johnson,False,1002427.0
16-10-2025 08:30,oral_surgeon,emily johnson,False,1009328.0
16-10-2025 08:30,orthodontist,emily johnson,True,
16-10-2025 08:30,general_dentist,jane smith,False,1009371.0
16-10-2025 08:30,cosmetic_dentist,jane smith,False,1004649.0
16-10-2025 08:30,prosthodontist,jane smith,True,
16-10-2025 08:30,pediatric_dentist,jane smith,True,
16-10-2025 08:30,emergency_dentist,jane smith,True,
16-10-2025 08:30,oral_surgeon,jane smith,False,1008574.0
16-10-2025 08:30,orthodontist,jane smith,False,1005680.0
16-10-2025 08:30,general_dentist,lisa brown,False,1003298.0
16-10-2025 08:30,cosmetic_dentist,lisa brown,True,
16-10-2025 08:30,prosthodontist,lisa brown,True,
16-10-2025 08:30,pediatric_dentist,lisa brown,True,
16-10-2025 08:30,emergency_dentist,lisa brown,True,
16-10-2025 08:30,oral_surgeon,lisa brown,False,1003508.0
16-10-2025 08:30,orthodontist,lisa brown,True,
16-10-2025 08:30,general_dentist,michael green,True,
16-10-2025 08:30,cosmetic_dentist,michael green,True,
16-10-2025 08:30,prosthodontist,michael green,True,
16-10-2025 08:30,pediatric_dentist,michael green,False,1009783.0
16-10-2025 08:30,emergency_dentist,michael green,True,
16-10-2025 08:30,oral_surgeon,michael green,True,
16-10-2025 08:30,orthodontist,michael green,True,
16-10-2025 08:30,general_dentist,sarah wilson,True,
16-10-2025 08:30,cosmetic_dentist,sarah wilson,True,
16-10-2025 08:30,prosthodontist,sarah wilson,True,
16-10-2025 08:30,pediatric_dentist,sarah wilson,True,
16-10-2025 08:30,emergency_dentist,sarah wilson,True,
16-10-2025 08:30,oral_surgeon,sarah wilson,True,
16-10-2025 08:30,orthodontist,sarah wilson,True,
16-10-2025 08:30,general_dentist,daniel miller,True,
16-10-2025 08:30,cosmetic_dentist,daniel miller,False,1005104.0
16-10-2025 08:30,prosthodontist,daniel miller,True,
16-10-2025 08:30,pediatric_dentist,daniel miller,True,
16-10-2025 08:30,emergency_dentist,daniel miller,True,
16-10-2025 08:30,oral_surgeon,daniel miller,True,
16-10-2025 08:30,orthodontist,daniel miller,False,1003713.0
16-10-2025 08:30,general_dentist,susan davis,True,
16-10-2025 08:30,cosmetic_dentist,susan davis,True,
16-10-2025 08:30,prosthodontist,susan davis,True,
16-10-2025 08:30,pediatric_dentist,susan davis,True,
16-10-2025 08:30,emergency_dentist,susan davis,True,
16-10-2025 08:30,oral_surgeon,susan davis,False,1004367.0
16-10-2025 08:30,orthodontist,susan davis,True,
16-10-2025 08:30,general_dentist,robert martinez,False,1001232.0
16-10-2025 08:30,cosmetic_dentist,robert martinez,True,
16-10-2025 08:30,prosthodontist,robert martinez,True,
16-10-2025 08:30,pediatric_dentist,robert martinez,True,
16-10-2025 08:30,emergency_dentist,robert martinez,True,
16-10-2025 08:30,oral_surgeon,robert martinez,False,1007824.0
16-10-2025 08:30,orthodontist,robert martinez,False,1002895.0
16-10-2025 08:30,general_dentist,kevin anderson,True,
16-10-2025 08:30,cosmetic_dentist,kevin anderson,True,
16-10-2025 08:30,prosthodontist,kevin anderson,True,
16-10-2025 08:30,pediatric_dentist,kevin anderson,False,1004135.0
16-10-2025 08:30,emergency_dentist,kevin anderson,True,
16-10-2025 08:30,oral_surgeon,kevin anderson,True,
16-10-2025 08:30,orthodontist,kevin anderson,False,1002753.0
16-10-2025 09:00,general_dentist,john doe,True,
16-10-2025 09:00,cosmetic_dentist,john doe,True,
16-10-2025 09:00,prosthodontist,john doe,False,1009809.0
16-10-2025 09:00,pediatric_dentist,john doe,True,
16-10-2025 09:00,emergency_dentist,john doe,True,
16-10-2025 09:00,oral_surgeon,john doe,True,
16-10-2025 09:00,orthodontist,john doe,True,
16-10-2025 09:00,general_dentist,emily johnson,True,
16-10-2025 09:00,cosmetic_dentist,emily johnson,False,1009720.0
16-10-2025 09:00,prosthodontist,emily johnson,True,
16-10-2025 09:00,pediatric_dentist,emily johnson,True,
16-10-2025 09:00,emergency_dentist,emily johnson,True,
16-10-2025 09:00,oral_surgeon,emily johnson,True,
16-10-2025 09:00,orthodontist,emily johnson,True,
16-10-2025 09:00,general_dentist,jane smith,True,
16-10-2025 09:00,cosmetic_dentist,jane smith,True,
